chord,rootnote,octave,notes,midi_numbers,formula
7sus4,C,3,"C, F, G, A#","36, 41, 43, 46","0, 5, 7, 10"
7b5,C,3,"C, E, F#, A#","36, 40, 42, 46","0, 4, 6, 10"
7#5,C,3,"C, E, G#, A#","36, 40, 44, 46","0, 4, 8, 10"
7b9,C,3,"C, E, G, A#, C#","36, 40, 43, 46, 49","0, 4, 7, 10, 13"
7#9,C,3,"C, E, G, A#, D#","36, 40, 43, 46, 51","0, 4, 7, 10, 15"
hdim,C,3,"C, D#, F#, A#","36, 39, 42, 46","0, 3, 6, 10"
maj,C#,3,"C#, F, G#","37, 41, 44","0, 4, 7"
min,C#,3,"C#, E, G#","37, 40, 44","0, 3, 7"
7,C#,3,"C#, F, G#, B","37, 41, 44, 47","0, 4, 7, 10"
maj7,C#,3,"C#, F, G#, C","37, 41, 44, 48","0, 4, 7, 11"
min7,C#,3,"C#, E, G#, B","37, 40, 44, 47","0, 3, 7, 10"
minmaj7,C#,3,"C#, E, G#, C","37, 40, 44, 48","0, 3, 7, 11"
dim,C#,3,"C#, E, G","37, 40, 43","0, 3, 6"
aug,C#,3,"C#, F, A","37, 41, 45","0, 4, 8"
aug(b7),C#,3,"C#, F, A, C","37, 41, 45, 48","0, 4, 8, 11"
sus2,C#,3,"C#, D#, G#","37, 39, 44","0, 2, 7"
sus4,C#,3,"C#, F#, G#","37, 42, 44","0, 5, 7"
#4,C#,3,"C#, G, G#","37, 43, 44","0, 6, 7"
9,C#,3,"C#, F, G#, B, D#","37, 41, 44, 47, 51","0, 4, 7, 10, 14"
11,C#,3,"C#, F, G#, B, D#, F#","37, 41, 44, 47, 51, 54","0, 4, 7, 10, 14, 17"
13,C#,3,"C#, F, G#, B, D#, F#, A#","37, 41, 44, 47, 51, 54, 58","0, 4, 7, 10, 14, 17, 21"
min9,C#,3,"C#, E, G#, B, D#","37, 40, 44, 47, 51","0, 3, 7, 10, 14"
min11,C#,3,"C#, E, G#, B, D#, F#","37, 40, 44, 47, 51, 54","0, 3, 7, 10, 14, 17"
min13,C#,3,"C#, E, G#, B, D#, F#, A#","37, 40, 44, 47, 51, 54, 58","0, 3, 7, 10, 14, 17, 21"
maj6,C#,3,"C#, F, G#, A#","37, 41, 44, 46","0, 4, 7, 9"
b6,C#,3,"C#, F, G#, A","37, 41, 44, 45","0, 4, 7, 8"
b3,C#,3,"C#, D#, F, G#","37, 39, 41, 44","0, 2, 4, 7"
#9,C#,3,"C#, F, G#, E","37, 41, 44, 52","0, 4, 7, 15"
dim7,C#,3,"C#, E, G, A#","37, 40, 43, 46","0, 3, 6, 9"
min6,C#,3,"C#, E, G#, A#","37, 40, 44, 46","0, 3, 7, 9"
maj9,C#,3,"C#, F, G#, C, D#","37, 41, 44, 48, 51","0, 4, 7, 11, 14"
7sus2,C#,3,"C#, D#, G#, B","37, 39, 44, 47","0, 2, 7, 10"
7sus4,C#,3,"C#, F#, G#, B","37, 42, 44, 47","0, 5, 7, 10"
7b5,C#,3,"C#, F, G, B","37, 41, 43, 47","0, 4, 6, 10"
7#5,C#,3,"C#, F, A, B","37, 41, 45, 47","0, 4, 8, 10"
7b9,C#,3,"C#, F, G#, B, D","37, 41, 44, 47, 50","0, 4, 7, 10, 13"
7#9,C#,3,"C#, F, G#, B, E","37, 41, 44, 47, 52","0, 4, 7, 10, 15"
hdim,C#,3,"C#, E, G, B","37, 40, 43, 47","0, 3, 6, 10"
maj,D,3,"D, F#, A","38, 42, 45","0, 4, 7"
min,D,3,"D, F, A","38, 41, 45","0, 3, 7"
7,D,3,"D, F#, A, C","38, 42, 45, 48","0, 4, 7, 10"
maj7,D,3,"D, F#, A, C#","38, 42, 45, 49","0, 4, 7, 11"
min7,D,3,"D, F, A, C","38, 41, 45, 48","0, 3, 7, 10"
minmaj7,D,3,"D, F, A, C#","38, 41, 45, 49","0, 3, 7, 11"
dim,D,3,"D, F, G#","38, 41, 44","0, 3, 6"
aug,D,3,"D, F#, A#","38, 42, 46","0, 4, 8"
aug(b7),D,3,"D, F#, A#, C#","38, 42, 46, 49","0, 4, 8, 11"
sus2,D,3,"D, E, A","38, 40, 45","0, 2, 7"
sus4,D,3,"D, G, A","38, 43, 45","0, 5, 7"
#4,D,3,"D, G#, A","38, 44, 45","0, 6, 7"
9,D,3,"D, F#, A, C, E","38, 42, 45, 48, 52","0, 4, 7, 10, 14"
11,D,3,"D, F#, A, C, E, G","38, 42, 45, 48, 52, 55","0, 4, 7, 10, 14, 17"
13,D,3,"D, F#, A, C, E, G, B","38, 42, 45, 48, 52, 55, 59","0, 4, 7, 10, 14, 17, 21"
min9,D,3,"D, F, A, C, E","38, 41, 45, 48, 52","0, 3, 7, 10, 14"
min11,D,3,"D, F, A, C, E, G","38, 41, 45, 48, 52, 55","0, 3, 7, 10, 14, 17"
min13,D,3,"D, F, A, C, E, G, B","38, 41, 45, 48, 52, 55, 59","0, 3, 7, 10, 14, 17, 21"
maj6,D,3,"D, F#, A, B","38, 42, 45, 47","0, 4, 7, 9"
b6,D,3,"D, F#, A, A#","38, 42, 45, 46","0, 4, 7, 8"
b3,D,3,"D, E, F#, A","38, 40, 42, 45","0, 2, 4, 7"
#9,D,3,"D, F#, A, F","38, 42, 45, 53","0, 4, 7, 15"
dim7,D,3,"D, F, G#, B","38, 41, 44, 47","0, 3, 6, 9"
min6,D,3,"D, F, A, B","38, 41, 45, 47","0, 3, 7, 9"
maj9,D,3,"D, F#, A, C#, E","38, 42, 45, 49, 52","0, 4, 7, 11, 14"
7sus2,D,3,"D, E, A, C","38, 40, 45, 48","0, 2, 7, 10"
7sus4,D,3,"D, G, A, C","38, 43, 45, 48","0, 5, 7, 10"
7b5,D,3,"D, F#, G#, C","38, 42, 44, 48","0, 4, 6, 10"
7#5,D,3,"D, F#, A#, C","38, 42, 46, 48","0, 4, 8, 10"
7b9,D,3,"D, F#, A, C, D#","38, 42, 45, 48, 51","0, 4, 7, 10, 13"
7#9,D,3,"D, F#, A, C, F","38, 42, 45, 48, 53","0, 4, 7, 10, 15"
hdim,D,3,"D, F, G#, C","38, 41, 44, 48","0, 3, 6, 10"
maj,D#,3,"D#, G, A#","39, 43, 46","0, 4, 7"
min,D#,3,"D#, F#, A#","39, 42, 46","0, 3, 7"
7,D#,3,"D#, G, A#, C#","39, 43, 46, 49","0, 4, 7, 10"
maj7,D#,3,"D#, G, A#, D","39, 43, 46, 50","0, 4, 7, 11"
min7,D#,3,"D#, F#, A#, C#","39, 42, 46, 49","0, 3, 7, 10"
minmaj7,D#,3,"D#, F#, A#, D","39, 42, 46, 50","0, 3, 7, 11"
dim,D#,3,"D#, F#, A","39, 42, 45","0, 3, 6"
aug,D#,3,"D#, G, B","39, 43, 47","0, 4, 8"
aug(b7),D#,3,"D#, G, B, D","39, 43, 47, 50","0, 4, 8, 11"
sus2,D#,3,"D#, F, A#","39, 41, 46","0, 2, 7"
sus4,D#,3,"D#, G#, A#","39, 44, 46","0, 5, 7"
#4,D#,3,"D#, A, A#","39, 45, 46","0, 6, 7"
9,D#,3,"D#, G, A#, C#, F","39, 43, 46, 49, 53","0, 4, 7, 10, 14"
11,D#,3,"D#, G, A#, C#, F, G#","39, 43, 46, 49, 53, 56","0, 4, 7, 10, 14, 17"
13,D#,3,"D#, G, A#, C#, F, G#, C","39, 43, 46, 49, 53, 56, 60","0, 4, 7, 10, 14, 17, 21"
min9,D#,3,"D#, F#, A#, C#, F","39, 42, 46, 49, 53","0, 3, 7, 10, 14"
min11,D#,3,"D#, F#, A#, C#, F, G#","39, 42, 46, 49, 53, 56","0, 3, 7, 10, 14, 17"
min13,D#,3,"D#, F#, A#, C#, F, G#, C","39, 42, 46, 49, 53, 56, 60","0, 3, 7, 10, 14, 17, 21"
maj6,D#,3,"D#, G, A#, C","39, 43, 46, 48","0, 4, 7, 9"
b6,D#,3,"D#, G, A#, B","39, 43, 46, 47","0, 4, 7, 8"
b3,D#,3,"D#, F, G, A#","39, 41, 43, 46","0, 2, 4, 7"
#9,D#,3,"D#, G, A#, F#","39, 43, 46, 54","0, 4, 7, 15"
dim7,D#,3,"D#, F#, A, C","39, 42, 45, 48","0, 3, 6, 9"
min6,D#,3,"D#, F#, A#, C","39, 42, 46, 48","0, 3, 7, 9"
maj9,D#,3,"D#, G, A#, D, F","39, 43, 46, 50, 53","0, 4, 7, 11, 14"
7sus2,D#,3,"D#, F, A#, C#","39, 41, 46, 49","0, 2, 7, 10"
7sus4,D#,3,"D#, G#, A#, C#","39, 44, 46, 49","0, 5, 7, 10"
7b5,D#,3,"D#, G, A, C#","39, 43, 45, 49","0, 4, 6, 10"
7#5,D#,3,"D#, G, B, C#","39, 43, 47, 49","0, 4, 8, 10"
7b9,D#,3,"D#, G, A#, C#, E","39, 43, 46, 49, 52","0, 4, 7, 10, 13"
7#9,D#,3,"D#, G, A#, C#, F#","39, 43, 46, 49, 54","0, 4, 7, 10, 15"
hdim,D#,3,"D#, F#, A, C#","39, 42, 45, 49","0, 3, 6, 10"
maj,E,3,"E, G#, B","40, 44, 47","0, 4, 7"
min,E,3,"E, G, B","40, 43, 47","0, 3, 7"
7,E,3,"E, G#, B, D","40, 44, 47, 50","0, 4, 7, 10"
maj7,E,3,"E, G#, B, D#","40, 44, 47, 51","0, 4, 7, 11"
min7,E,3,"E, G, B, D","40, 43, 47, 50","0, 3, 7, 10"
minmaj7,E,3,"E, G, B, D#","40, 43, 47, 51","0, 3, 7, 11"
dim,E,3,"E, G, A#","40, 43, 46","0, 3, 6"
aug,E,3,"E, G#, C","40, 44, 48","0, 4, 8"
aug(b7),E,3,"E, G#, C, D#","40, 44, 48, 51","0, 4, 8, 11"
sus2,E,3,"E, F#, B","40, 42, 47","0, 2, 7"
sus4,E,3,"E, A, B","40, 45, 47","0, 5, 7"
#4,E,3,"E, A#, B","40, 46, 47","0, 6, 7"
9,E,3,"E, G#, B, D, F#","40, 44, 47, 50, 54","0, 4, 7, 10, 14"
11,E,3,"E, G#, B, D, F#, A","40, 44, 47, 50, 54, 57","0, 4, 7, 10, 14, 17"
13,E,3,"E, G#, B, D, F#, A, C#","40, 44, 47, 50, 54, 57, 61","0, 4, 7, 10, 14, 17, 21"
min9,E,3,"E, G, B, D, F#","40, 43, 47, 50, 54","0, 3, 7, 10, 14"
min11,E,3,"E, G, B, D, F#, A","40, 43, 47, 50, 54, 57","0, 3, 7, 10, 14, 17"
min13,E,3,"E, G, B, D, F#, A, C#","40, 43, 47, 50, 54, 57, 61","0, 3, 7, 10, 14, 17, 21"
maj6,E,3,"E, G#, B, C#","40, 44, 47, 49","0, 4, 7, 9"
b6,E,3,"E, G#, B, C","40, 44, 47, 48","0, 4, 7, 8"
b3,E,3,"E, F#, G#, B","40, 42, 44, 47","0, 2, 4, 7"
#9,E,3,"E, G#, B, G","40, 44, 47, 55","0, 4, 7, 15"
dim7,E,3,"E, G, A#, C#","40, 43, 46, 49","0, 3, 6, 9"
min6,E,3,"E, G, B, C#","40, 43, 47, 49","0, 3, 7, 9"
maj9,E,3,"E, G#, B, D#, F#","40, 44, 47, 51, 54","0, 4, 7, 11, 14"
7sus2,E,3,"E, F#, B, D","40, 42, 47, 50","0, 2, 7, 10"
7sus4,E,3,"E, A, B, D","40, 45, 47, 50","0, 5, 7, 10"
7b5,E,3,"E, G#, A#, D","40, 44, 46, 50","0, 4, 6, 10"
7#5,E,3,"E, G#, C, D","40, 44, 48, 50","0, 4, 8, 10"
7b9,E,3,"E, G#, B, D, F","40, 44, 47, 50, 53","0, 4, 7, 10, 13"
7#9,E,3,"E, G#, B, D, G","40, 44, 47, 50, 55","0, 4, 7, 10, 15"
hdim,E,3,"E, G, A#, D","40, 43, 46, 50","0, 3, 6, 10"
maj,F,3,"F, A, C","41, 45, 48","0, 4, 7"
min,F,3,"F, G#, C","41, 44, 48","0, 3, 7"
7,F,3,"F, A, C, D#","41, 45, 48, 51","0, 4, 7, 10"
maj7,F,3,"F, A, C, E","41, 45, 48, 52","0, 4, 7, 11"
min7,F,3,"F, G#, C, D#","41, 44, 48, 51","0, 3, 7, 10"
minmaj7,F,3,"F, G#, C, E","41, 44, 48, 52","0, 3, 7, 11"
dim,F,3,"F, G#, B","41, 44, 47","0, 3, 6"
aug,F,3,"F, A, C#","41, 45, 49","0, 4, 8"
aug(b7),F,3,"F, A, C#, E","41, 45, 49, 52","0, 4, 8, 11"
sus2,F,3,"F, G, C","41, 43, 48","0, 2, 7"
sus4,F,3,"F, A#, C","41, 46, 48","0, 5, 7"
#4,F,3,"F, B, C","41, 47, 48","0, 6, 7"
9,F,3,"F, A, C, D#, G","41, 45, 48, 51, 55","0, 4, 7, 10, 14"
11,F,3,"F, A, C, D#, G, A#","41, 45, 48, 51, 55, 58","0, 4, 7, 10, 14, 17"
13,F,3,"F, A, C, D#, G, A#, D","41, 45, 48, 51, 55, 58, 62","0, 4, 7, 10, 14, 17, 21"
min9,F,3,"F, G#, C, D#, G","41, 44, 48, 51, 55","0, 3, 7, 10, 14"
min11,F,3,"F, G#, C, D#, G, A#","41, 44, 48, 51, 55, 58","0, 3, 7, 10, 14, 17"
min13,F,3,"F, G#, C, D#, G, A#, D","41, 44, 48, 51, 55, 58, 62","0, 3, 7, 10, 14, 17, 21"
maj6,F,3,"F, A, C, D","41, 45, 48, 50","0, 4, 7, 9"
b6,F,3,"F, A, C, C#","41, 45, 48, 49","0, 4, 7, 8"
b3,F,3,"F, G, A, C","41, 43, 45, 48","0, 2, 4, 7"
#9,F,3,"F, A, C, G#","41, 45, 48, 56","0, 4, 7, 15"
dim7,F,3,"F, G#, B, D","41, 44, 47, 50","0, 3, 6, 9"
min6,F,3,"F, G#, C, D","41, 44, 48, 50","0, 3, 7, 9"
maj9,F,3,"F, A, C, E, G","41, 45, 48, 52, 55","0, 4, 7, 11, 14"
7sus2,F,3,"F, G, C, D#","41, 43, 48, 51","0, 2, 7, 10"
7sus4,F,3,"F, A#, C, D#","41, 46, 48, 51","0, 5, 7, 10"
7b5,F,3,"F, A, B, D#","41, 45, 47, 51","0, 4, 6, 10"
7#5,F,3,"F, A, C#, D#","41, 45, 49, 51","0, 4, 8, 10"
7b9,F,3,"F, A, C, D#, F#","41, 45, 48, 51, 54","0, 4, 7, 10, 13"
7#9,F,3,"F, A, C, D#, G#","41, 45, 48, 51, 56","0, 4, 7, 10, 15"
hdim,F,3,"F, G#, B, D#","41, 44, 47, 51","0, 3, 6, 10"
maj,F#,3,"F#, A#, C#","42, 46, 49","0, 4, 7"
min,F#,3,"F#, A, C#","42, 45, 49","0, 3, 7"
7,F#,3,"F#, A#, C#, E","42, 46, 49, 52","0, 4, 7, 10"
maj7,F#,3,"F#, A#, C#, F","42, 46, 49, 53","0, 4, 7, 11"
min7,F#,3,"F#, A, C#, E","42, 45, 49, 52","0, 3, 7, 10"
minmaj7,F#,3,"F#, A, C#, F","42, 45, 49, 53","0, 3, 7, 11"
dim,F#,3,"F#, A, C","42, 45, 48","0, 3, 6"
aug,F#,3,"F#, A#, D","42, 46, 50","0, 4, 8"
aug(b7),F#,3,"F#, A#, D, F","42, 46, 50, 53","0, 4, 8, 11"
sus2,F#,3,"F#, G#, C#","42, 44, 49","0, 2, 7"
sus4,F#,3,"F#, B, C#","42, 47, 49","0, 5, 7"
#4,F#,3,"F#, C, C#","42, 48, 49","0, 6, 7"
9,F#,3,"F#, A#, C#, E, G#","42, 46, 49, 52, 56","0, 4, 7, 10, 14"
11,F#,3,"F#, A#, C#, E, G#, B","42, 46, 49, 52, 56, 59","0, 4, 7, 10, 14, 17"
13,F#,3,"F#, A#, C#, E, G#, B, D#","42, 46, 49, 52, 56, 59, 63","0, 4, 7, 10, 14, 17, 21"
min9,F#,3,"F#, A, C#, E, G#","42, 45, 49, 52, 56","0, 3, 7, 10, 14"
min11,F#,3,"F#, A, C#, E, G#, B","42, 45, 49, 52, 56, 59","0, 3, 7, 10, 14, 17"
min13,F#,3,"F#, A, C#, E, G#, B, D#","42, 45, 49, 52, 56, 59, 63","0, 3, 7, 10, 14, 17, 21"
maj6,F#,3,"F#, A#, C#, D#","42, 46, 49, 51","0, 4, 7, 9"
b6,F#,3,"F#, A#, C#, D","42, 46, 49, 50","0, 4, 7, 8"
b3,F#,3,"F#, G#, A#, C#","42, 44, 46, 49","0, 2, 4, 7"
#9,F#,3,"F#, A#, C#, A","42, 46, 49, 57","0, 4, 7, 15"
dim7,F#,3,"F#, A, C, D#","42, 45, 48, 51","0, 3, 6, 9"
min6,F#,3,"F#, A, C#, D#","42, 45, 49, 51","0, 3, 7, 9"
maj9,F#,3,"F#, A#, C#, F, G#","42, 46, 49, 53, 56","0, 4, 7, 11, 14"
7sus2,F#,3,"F#, G#, C#, E","42, 44, 49, 52","0, 2, 7, 10"
7sus4,F#,3,"F#, B, C#, E","42, 47, 49, 52","0, 5, 7, 10"
7b5,F#,3,"F#, A#, C, E","42, 46, 48, 52","0, 4, 6, 10"
7#5,F#,3,"F#, A#, D, E","42, 46, 50, 52","0, 4, 8, 10"
7b9,F#,3,"F#, A#, C#, E, G","42, 46, 49, 52, 55","0, 4, 7, 10, 13"
7#9,F#,3,"F#, A#, C#, E, A","42, 46, 49, 52, 57","0, 4, 7, 10, 15"
hdim,F#,3,"F#, A, C, E","42, 45, 48, 52","0, 3, 6, 10"
maj,G,3,"G, B, D","43, 47, 50","0, 4, 7"
min,G,3,"G, A#, D","43, 46, 50","0, 3, 7"
7,G,3,"G, B, D, F","43, 47, 50, 53","0, 4, 7, 10"
maj7,G,3,"G, B, D, F#","43, 47, 50, 54","0, 4, 7, 11"
min7,G,3,"G, A#, D, F","43, 46, 50, 53","0, 3, 7, 10"
minmaj7,G,3,"G, A#, D, F#","43, 46, 50, 54","0, 3, 7, 11"
dim,G,3,"G, A#, C#","43, 46, 49","0, 3, 6"
aug,G,3,"G, B, D#","43, 47, 51","0, 4, 8"
aug(b7),G,3,"G, B, D#, F#","43, 47, 51, 54","0, 4, 8, 11"
sus2,G,3,"G, A, D","43, 45, 50","0, 2, 7"
sus4,G,3,"G, C, D","43, 48, 50","0, 5, 7"
#4,G,3,"G, C#, D","43, 49, 50","0, 6, 7"
9,G,3,"G, B, D, F, A","43, 47, 50, 53, 57","0, 4, 7, 10, 14"
11,G,3,"G, B, D, F, A, C","43, 47, 50, 53, 57, 60","0, 4, 7, 10, 14, 17"
13,G,3,"G, B, D, F, A, C, E","43, 47, 50, 53, 57, 60, 64","0, 4, 7, 10, 14, 17, 21"
min9,G,3,"G, A#, D, F, A","43, 46, 50, 53, 57","0, 3, 7, 10, 14"
min11,G,3,"G, A#, D, F, A, C","43, 46, 50, 53, 57, 60","0, 3, 7, 10, 14, 17"
min13,G,3,"G, A#, D, F, A, C, E","43, 46, 50, 53, 57, 60, 64","0, 3, 7, 10, 14, 17, 21"
maj6,G,3,"G, B, D, E","43, 47, 50, 52","0, 4, 7, 9"
b6,G,3,"G, B, D, D#","43, 47, 50, 51","0, 4, 7, 8"
b3,G,3,"G, A, B, D","43, 45, 47, 50","0, 2, 4, 7"
#9,G,3,"G, B, D, A#","43, 47, 50, 58","0, 4, 7, 15"
dim7,G,3,"G, A#, C#, E","43, 46, 49, 52","0, 3, 6, 9"
min6,G,3,"G, A#, D, E","43, 46, 50, 52","0, 3, 7, 9"
maj9,G,3,"G, B, D, F#, A","43, 47, 50, 54, 57","0, 4, 7, 11, 14"
7sus2,G,3,"G, A, D, F","43, 45, 50, 53","0, 2, 7, 10"
7sus4,G,3,"G, C, D, F","43, 48, 50, 53","0, 5, 7, 10"
7b5,G,3,"G, B, C#, F","43, 47, 49, 53","0, 4, 6, 10"
7#5,G,3,"G, B, D#, F","43, 47, 51, 53","0, 4, 8, 10"
7b9,G,3,"G, B, D, F, G#","43, 47, 50, 53, 56","0, 4, 7, 10, 13"
7#9,G,3,"G, B, D, F, A#","43, 47, 50, 53, 58","0, 4, 7, 10, 15"
hdim,G,3,"G, A#, C#, F","43, 46, 49, 53","0, 3, 6, 10"
maj,G#,3,"G#, C, D#","44, 48, 51","0, 4, 7"
min,G#,3,"G#, B, D#","44, 47, 51","0, 3, 7"
7,G#,3,"G#, C, D#, F#","44, 48, 51, 54","0, 4, 7, 10"
maj7,G#,3,"G#, C, D#, G","44, 48, 51, 55","0, 4, 7, 11"
min7,G#,3,"G#, B, D#, F#","44, 47, 51, 54","0, 3, 7, 10"
minmaj7,G#,3,"G#, B, D#, G","44, 47, 51, 55","0, 3, 7, 11"
dim,G#,3,"G#, B, D","44, 47, 50","0, 3, 6"
aug,G#,3,"G#, C, E","44, 48, 52","0, 4, 8"
aug(b7),G#,3,"G#, C, E, G","44, 48, 52, 55","0, 4, 8, 11"
sus2,G#,3,"G#, A#, D#","44, 46, 51","0, 2, 7"
sus4,G#,3,"G#, C#, D#","44, 49, 51","0, 5, 7"
#4,G#,3,"G#, D, D#","44, 50, 51","0, 6, 7"
9,G#,3,"G#, C, D#, F#, A#","44, 48, 51, 54, 58","0, 4, 7, 10, 14"
11,G#,3,"G#, C, D#, F#, A#, C#","44, 48, 51, 54, 58, 61","0, 4, 7, 10, 14, 17"
13,G#,3,"G#, C, D#, F#, A#, C#, F","44, 48, 51, 54, 58, 61, 65","0, 4, 7, 10, 14, 17, 21"
min9,G#,3,"G#, B, D#, F#, A#","44, 47, 51, 54, 58","0, 3, 7, 10, 14"
min11,G#,3,"G#, B, D#, F#, A#, C#","44, 47, 51, 54, 58, 61","0, 3, 7, 10, 14, 17"
min13,G#,3,"G#, B, D#, F#, A#, C#, F","44, 47, 51, 54, 58, 61, 65","0, 3, 7, 10, 14, 17, 21"
maj6,G#,3,"G#, C, D#, F","44, 48, 51, 53","0, 4, 7, 9"
b6,G#,3,"G#, C, D#, E","44, 48, 51, 52","0, 4, 7, 8"
b3,G#,3,"G#, A#, C, D#","44, 46, 48, 51","0, 2, 4, 7"
#9,G#,3,"G#, C, D#, B","44, 48, 51, 59","0, 4, 7, 15"
dim7,G#,3,"G#, B, D, F","44, 47, 50, 53","0, 3, 6, 9"
min6,G#,3,"G#, B, D#, F","44, 47, 51, 53","0, 3, 7, 9"
maj9,G#,3,"G#, C, D#, G, A#","44, 48, 51, 55, 58","0, 4, 7, 11, 14"
7sus2,G#,3,"G#, A#, D#, F#","44, 46, 51, 54","0, 2, 7, 10"
7sus4,G#,3,"G#, C#, D#, F#","44, 49, 51, 54","0, 5, 7, 10"
7b5,G#,3,"G#, C, D, F#","44, 48, 50, 54","0, 4, 6, 10"
7#5,G#,3,"G#, C, E, F#","44, 48, 52, 54","0, 4, 8, 10"
7b9,G#,3,"G#, C, D#, F#, A","44, 48, 51, 54, 57","0, 4, 7, 10, 13"
7#9,G#,3,"G#, C, D#, F#, B","44, 48, 51, 54, 59","0, 4, 7, 10, 15"
hdim,G#,3,"G#, B, D, F#","44, 47, 50, 54","0, 3, 6, 10"
maj,A,3,"A, C#, E","45, 49, 52","0, 4, 7"
min,A,3,"A, C, E","45, 48, 52","0, 3, 7"
7,A,3,"A, C#, E, G","45, 49, 52, 55","0, 4, 7, 10"
maj7,A,3,"A, C#, E, G#","45, 49, 52, 56","0, 4, 7, 11"
min7,A,3,"A, C, E, G","45, 48, 52, 55","0, 3, 7, 10"
minmaj7,A,3,"A, C, E, G#","45, 48, 52, 56","0, 3, 7, 11"
dim,A,3,"A, C, D#","45, 48, 51","0, 3, 6"
aug,A,3,"A, C#, F","45, 49, 53","0, 4, 8"
aug(b7),A,3,"A, C#, F, G#","45, 49, 53, 56","0, 4, 8, 11"
sus2,A,3,"A, B, E","45, 47, 52","0, 2, 7"
sus4,A,3,"A, D, E","45, 50, 52","0, 5, 7"
#4,A,3,"A, D#, E","45, 51, 52","0, 6, 7"
9,A,3,"A, C#, E, G, B","45, 49, 52, 55, 59","0, 4, 7, 10, 14"
11,A,3,"A, C#, E, G, B, D","45, 49, 52, 55, 59, 62","0, 4, 7, 10, 14, 17"
13,A,3,"A, C#, E, G, B, D, F#","45, 49, 52, 55, 59, 62, 66","0, 4, 7, 10, 14, 17, 21"
min9,A,3,"A, C, E, G, B","45, 48, 52, 55, 59","0, 3, 7, 10, 14"
min11,A,3,"A, C, E, G, B, D","45, 48, 52, 55, 59, 62","0, 3, 7, 10, 14, 17"
min13,A,3,"A, C, E, G, B, D, F#","45, 48, 52, 55, 59, 62, 66","0, 3, 7, 10, 14, 17, 21"
maj6,A,3,"A, C#, E, F#","45, 49, 52, 54","0, 4, 7, 9"
b6,A,3,"A, C#, E, F","45, 49, 52, 53","0, 4, 7, 8"
b3,A,3,"A, B, C#, E","45, 47, 49, 52","0, 2, 4, 7"
#9,A,3,"A, C#, E, C","45, 49, 52, 60","0, 4, 7, 15"
dim7,A,3,"A, C, D#, F#","45, 48, 51, 54","0, 3, 6, 9"
min6,A,3,"A, C, E, F#","45, 48, 52, 54","0, 3, 7, 9"
maj9,A,3,"A, C#, E, G#, B","45, 49, 52, 56, 59","0, 4, 7, 11, 14"
7sus2,A,3,"A, B, E, G","45, 47, 52, 55","0, 2, 7, 10"
7sus4,A,3,"A, D, E, G","45, 50, 52, 55","0, 5, 7, 10"
7b5,A,3,"A, C#, D#, G","45, 49, 51, 55","0, 4, 6, 10"
7#5,A,3,"A, C#, F, G","45, 49, 53, 55","0, 4, 8, 10"
7b9,A,3,"A, C#, E, G, A#","45, 49, 52, 55, 58","0, 4, 7, 10, 13"
7#9,A,3,"A, C#, E, G, C","45, 49, 52, 55, 60","0, 4, 7, 10, 15"
hdim,A,3,"A, C, D#, G","45, 48, 51, 55","0, 3, 6, 10"
maj,A#,3,"A#, D, F","46, 50, 53","0, 4, 7"
min,A#,3,"A#, C#, F","46, 49, 53","0, 3, 7"
7,A#,3,"A#, D, F, G#","46, 50, 53, 56","0, 4, 7, 10"
maj7,A#,3,"A#, D, F, A","46, 50, 53, 57","0, 4, 7, 11"
min7,A#,3,"A#, C#, F, G#","46, 49, 53, 56","0, 3, 7, 10"
minmaj7,A#,3,"A#, C#, F, A","46, 49, 53, 57","0, 3, 7, 11"
dim,A#,3,"A#, C#, E","46, 49, 52","0, 3, 6"
aug,A#,3,"A#, D, F#","46, 50, 54","0, 4, 8"
aug(b7),A#,3,"A#, D, F#, A","46, 50, 54, 57","0, 4, 8, 11"
sus2,A#,3,"A#, C, F","46, 48, 53","0, 2, 7"
sus4,A#,3,"A#, D#, F","46, 51, 53","0, 5, 7"
#4,A#,3,"A#, E, F","46, 52, 53","0, 6, 7"
9,A#,3,"A#, D, F, G#, C","46, 50, 53, 56, 60","0, 4, 7, 10, 14"
11,A#,3,"A#, D, F, G#, C, D#","46, 50, 53, 56, 60, 63","0, 4, 7, 10, 14, 17"
13,A#,3,"A#, D, F, G#, C, D#, G","46, 50, 53, 56, 60, 63, 67","0, 4, 7, 10, 14, 17, 21"
min9,A#,3,"A#, C#, F, G#, C","46, 49, 53, 56, 60","0, 3, 7, 10, 14"
min11,A#,3,"A#, C#, F, G#, C, D#","46, 49, 53, 56, 60, 63","0, 3, 7, 10, 14, 17"
min13,A#,3,"A#, C#, F, G#, C, D#, G","46, 49, 53, 56, 60, 63, 67","0, 3, 7, 10, 14, 17, 21"
maj6,A#,3,"A#, D, F, G","46, 50, 53, 55","0, 4, 7, 9"
b6,A#,3,"A#, D, F, F#","46, 50, 53, 54","0, 4, 7, 8"
b3,A#,3,"A#, C, D, F","46, 48, 50, 53","0, 2, 4, 7"
#9,A#,3,"A#, D, F, C#","46, 50, 53, 61","0, 4, 7, 15"
dim7,A#,3,"A#, C#, E, G","46, 49, 52, 55","0, 3, 6, 9"
min6,A#,3,"A#, C#, F, G","46, 49, 53, 55","0, 3, 7, 9"
maj9,A#,3,"A#, D, F, A, C","46, 50, 53, 57, 60","0, 4, 7, 11, 14"
